symbol,S,K,C,bid,ask,T,r,market_iv,moneyness_SK
SPXW260922C07550000,7643.99,7550.0,102.45,99.5,105.4,0.008652567248077035,0.0525,0.1212627547454834,1.0124490066225165
SPXW260922C07555000,7643.99,7555.0,96.80000000000001,94.9,98.7,0.008652567248077035,0.0525,0.11020024330139158,1.0117789543348776
SPXW260922C07560000,7643.99,7560.0,91.4,89.5,93.3,0.008652567248077035,0.0525,0.10458506507873533,1.0111097883597884
SPXW260922C07565000,7643.99,7565.0,86.9,85.0,88.8,0.008652567248077035,0.0525,0.10271588211059571,1.0104415069398545
SPXW260922C07570000,7643.99,7570.0,82.65,80.8,84.5,0.008652567248077035,0.0525,0.10147230323791503,1.0097741083223248
SPXW260922C07575000,7643.99,7575.0,78.1,76.2,80.0,0.008652567248077035,0.0525,0.09927505958557128,1.0091075907590759
SPXW260922C07580000,7643.99,7580.0,73.75,71.8,75.7,0.008652567248077035,0.0525,0.0976576441192627,1.0084419525065962
SPXW260922C07590000,7643.99,7590.0,65.1,63.3,66.9,0.008652567248077035,0.0525,0.09315634635925293,1.0071133069828722
SPXW260922C07595000,7643.99,7595.0,61.150000000000006,59.7,62.6,0.008652567248077035,0.0525,0.09098580532073976,1.0064502962475312
SPXW260922C07600000,7643.99,7600.0,57.8,56.2,59.4,0.008652567248077035,0.0525,0.09220268157958984,1.0057881578947367
SPXW260922C07605000,7643.99,7605.0,53.400000000000006,53.2,53.6,0.008652567248077035,0.0525,0.08475646697998049,1.0051268902038133
SPXW260922C07610000,7643.99,7610.0,49.25,49.1,49.4,0.008652567248077035,0.0525,0.08232271446228029,1.004466491458607
SPXW260922C07615000,7643.99,7615.0,45.55,45.4,45.7,0.008652567248077035,0.0525,0.08117068740844727,1.0038069599474722
SPXW260922C07620000,7643.99,7620.0,42.2,42.1,42.3,0.008652567248077035,0.0525,0.0805908592224121,1.0031482939632546
SPXW260922C07625000,7643.99,7625.0,38.85,38.7,39.0,0.008652567248077035,0.0525,0.07994236717224121,1.0024904918032786
SPXW260922C07630000,7643.99,7630.0,35.55,35.4,35.7,0.008652567248077035,0.0525,0.07893529716491698,1.0018335517693315
SPXW260922C07635000,7643.99,7635.0,31.799999999999997,31.7,31.9,0.008652567248077035,0.0525,0.07615059600830079,1.001177472167649
SPXW260922C07640000,7643.99,7640.0,28.85,28.7,29.0,0.008652567248077035,0.0525,0.07553262123107912,1.0005222513089005
SPXW260922C07645000,7643.99,7645.0,25.9,25.8,26.0,0.008652567248077035,0.0525,0.07423182247161866,0.9998678875081752
SPXW260922C07650000,7643.99,7650.0,23.049999999999997,22.9,23.2,0.008652567248077035,0.0525,0.07306835144042968,0.9992143790849672
SPXW260922C07655000,7643.99,7655.0,20.700000000000003,20.6,20.8,0.008652567248077035,0.0525,0.0725953337097168,0.9985617243631613
SPXW260922C07660000,7643.99,7660.0,18.299999999999997,18.2,18.4,0.008652567248077035,0.0525,0.07167218620300295,0.9979099216710182
SPXW260922C07665000,7643.99,7665.0,16.0,15.9,16.1,0.008652567248077035,0.0525,0.07056593505859377,0.9972589693411611
SPXW260922C07670000,7643.99,7670.0,13.6,13.5,13.7,0.008652567248077035,0.0525,0.06863571754455569,0.9966088657105606
SPXW260922C07675000,7643.99,7675.0,11.8,11.7,11.9,0.008652567248077035,0.0525,0.06800248413085938,0.9959596091205212
SPXW260922C07680000,7643.99,7680.0,10.0,9.9,10.1,0.008652567248077035,0.0525,0.06683519844055177,0.9953111979166667
SPXW260922C07685000,7643.99,7685.0,8.7,8.6,8.8,0.008652567248077035,0.0525,0.06682375446319581,0.9946636304489265
SPXW260922C07690000,7643.99,7690.0,7.300000000000001,7.2,7.4,0.008652567248077035,0.0525,0.06593493888854982,0.9940169050715214
SPXW260922C07695000,7643.99,7695.0,5.9,5.8,6.0,0.008652567248077035,0.0525,0.06440907524108885,0.99337102014295
SPXW260922C07700000,7643.99,7700.0,4.9,4.8,5.0,0.008652567248077035,0.0525,0.06388265228271485,0.992725974025974
SPXW260922C07705000,7643.99,7705.0,4.1,4.0,4.2,0.008652567248077035,0.0525,0.06371480728149415,0.9920817650876054
SPXW260922C07710000,7643.99,7710.0,3.3499999999999996,3.3,3.4,0.008652567248077035,0.0525,0.0629823927307129,0.9914383916990921
SPXW260922C07715000,7643.99,7715.0,2.7,2.65,2.75,0.008652567248077035,0.0525,0.062433081817626954,0.990795852235904
SPXW260922C07720000,7643.99,7720.0,2.0999999999999996,2.05,2.15,0.008652567248077035,0.0525,0.06153282226562501,0.9901541450777201
SPXW260922C07725000,7643.99,7725.0,1.65,1.6,1.7,0.008652567248077035,0.0525,0.0610292872619629,0.9895132686084143
SPXW260922C07730000,7643.99,7730.0,1.3,1.25,1.35,0.008652567248077035,0.0525,0.060739373168945315,0.9888732212160414
SPXW260922C07735000,7643.99,7735.0,1.0,0.95,1.05,0.008652567248077035,0.0525,0.060312131347656256,0.9882340012928248
SPXW260922C07740000,7643.99,7740.0,0.825,0.8,0.85,0.008652567248077035,0.0525,0.06044945907592775,0.9875956072351421
SPXW260922C07745000,7643.99,7745.0,0.6499999999999999,0.6,0.7,0.008652567248077035,0.0525,0.060830924987792974,0.986958037443512
SPXW260923C07390000,7643.99,7390.0,258.85,248.9,268.8,0.011390418035209135,0.0525,0.23474123420715332,1.0343694181326115
SPXW260923C07400000,7643.99,7400.0,248.75,238.9,258.6,0.011390418035209135,0.0525,0.22721109710693355,1.0329716216216216
SPXW260923C07450000,7643.99,7450.0,198.89999999999998,195.6,202.2,0.011390418035209135,0.0525,0.16254499572753905,1.0260389261744967
SPXW260923C07460000,7643.99,7460.0,188.5,185.0,192.0,0.011390418035209135,0.0525,0.1552971434020996,1.0246635388739946
SPXW260923C07475000,7643.99,7475.0,174.05,170.6,177.5,0.011390418035209135,0.0525,0.148621489944458,1.0226073578595318
SPXW260923C07500000,7643.99,7500.0,150.7,147.3,154.1,0.011390418035209135,0.0525,0.1401605760192871,1.0191986666666666
SPXW260923C07520000,7643.99,7520.0,131.60000000000002,128.4,134.8,0.011390418035209135,0.0525,0.12967026344299318,1.0164880319148937
SPXW260923C07525000,7643.99,7525.0,126.44999999999999,123.3,129.6,0.011390418035209135,0.0525,0.12539021591186522,1.0158126245847177
SPXW260923C07530000,7643.99,7530.0,123.2,121.0,125.4,0.011390418035209135,0.0525,0.12515370704650877,1.0151381142098272
SPXW260923C07540000,7643.99,7540.0,113.9,110.6,117.2,0.011390418035209135,0.0525,0.1248637929534912,1.013791777188329
SPXW260923C07545000,7643.99,7545.0,109.35,106.4,112.3,0.011390418035209135,0.0525,0.12153741020202635,1.013119946984758
SPXW260923C07550000,7643.99,7550.0,104.8,101.8,107.8,0.011390418035209135,0.0525,0.11959193405151367,1.0124490066225165
SPXW260923C07560000,7643.99,7560.0,95.8,93.6,98.0,0.011390418035209135,0.0525,0.1126492544555664,1.0111097883597884
SPXW260923C07565000,7643.99,7565.0,91.6,88.7,94.5,0.011390418035209135,0.0525,0.1137860228729248,1.0104415069398545
SPXW260923C07570000,7643.99,7570.0,86.75,83.8,89.7,0.011390418035209135,0.0525,0.11042912284851072,1.0097741083223248
SPXW260923C07575000,7643.99,7575.0,82.44999999999999,79.6,85.3,0.011390418035209135,0.0525,0.10828146976470947,1.0091075907590759
SPXW260923C07580000,7643.99,7580.0,79.30000000000001,77.2,81.4,0.011390418035209135,0.0525,0.10755286987304688,1.0084419525065962
SPXW260923C07585000,7643.99,7585.0,74.3,72.6,76.0,0.011390418035209135,0.0525,0.10207501937866209,1.0077771918259724
SPXW260923C07590000,7643.99,7590.0,70.69999999999999,69.1,72.3,0.011390418035209135,0.0525,0.10166303619384764,1.0071133069828722
SPXW260923C07595000,7643.99,7595.0,66.65,66.5,66.8,0.011390418035209135,0.0525,0.09575794387817385,1.0064502962475312
SPXW260923C07600000,7643.99,7600.0,63.25,63.1,63.4,0.011390418035209135,0.0525,0.09587619831085208,1.0057881578947367
SPXW260923C07605000,7643.99,7605.0,58.65,58.5,58.8,0.011390418035209135,0.0525,0.09235145328521728,1.0051268902038133
SPXW260923C07610000,7643.99,7610.0,55.05,54.9,55.2,0.011390418035209135,0.0525,0.09145119373321532,1.004466491458607
SPXW260923C07615000,7643.99,7615.0,51.4,51.3,51.5,0.011390418035209135,0.0525,0.09003595520019532,1.0038069599474722
SPXW260923C07620000,7643.99,7620.0,48.35,48.2,48.5,0.011390418035209135,0.0525,0.09024957611083985,1.0031482939632546
SPXW260923C07625000,7643.99,7625.0,44.25,44.1,44.4,0.011390418035209135,0.0525,0.08728177131652834,1.0024904918032786
SPXW260923C07630000,7643.99,7630.0,41.1,41.0,41.2,0.011390418035209135,0.0525,0.08642728767395022,1.0018335517693315
SPXW260923C07635000,7643.99,7635.0,38.3,38.2,38.4,0.011390418035209135,0.0525,0.08632047721862796,1.001177472167649
SPXW260923C07640000,7643.99,7640.0,35.2,35.1,35.3,0.011390418035209135,0.0525,0.08514556221008304,1.0005222513089005
SPXW260923C07645000,7643.99,7645.0,31.85,31.7,32.0,0.011390418035209135,0.0525,0.08315812480926517,0.9998678875081752
SPXW260923C07650000,7643.99,7650.0,29.450000000000003,29.3,29.6,0.011390418035209135,0.0525,0.08316575412750248,0.9992143790849672
SPXW260923C07655000,7643.99,7655.0,26.35,26.2,26.5,0.011390418035209135,0.0525,0.0810562476348877,0.9985617243631613
SPXW260923C07660000,7643.99,7660.0,23.75,23.6,23.9,0.011390418035209135,0.0525,0.07988514728546144,0.9979099216710182
SPXW260923C07665000,7643.99,7665.0,21.75,21.6,21.9,0.011390418035209135,0.0525,0.07994618183135986,0.9972589693411611
SPXW260923C07670000,7643.99,7670.0,19.1,19.0,19.2,0.011390418035209135,0.0525,0.07778708477020264,0.9966088657105606
SPXW260923C07675000,7643.99,7675.0,17.049999999999997,16.9,17.2,0.011390418035209135,0.0525,0.07712714874267579,0.9959596091205212
SPXW260923C07680000,7643.99,7680.0,15.2,15.1,15.3,0.011390418035209135,0.0525,0.07637184623718263,0.9953111979166667
SPXW260923C07685000,7643.99,7685.0,13.5,13.4,13.6,0.011390418035209135,0.0525,0.07581109134674073,0.9946636304489265
SPXW260923C07690000,7643.99,7690.0,11.7,11.6,11.8,0.011390418035209135,0.0525,0.07454080986022948,0.9940169050715214
SPXW260923C07695000,7643.99,7695.0,10.4,10.3,10.5,0.011390418035209135,0.0525,0.0744187407684326,0.99337102014295
SPXW260923C07700000,7643.99,7700.0,9.1,9.0,9.2,0.011390418035209135,0.0525,0.07391520576477054,0.992725974025974
SPXW260923C07705000,7643.99,7705.0,7.6,7.5,7.7,0.011390418035209135,0.0525,0.07225964370727539,0.9920817650876054
SPXW260923C07710000,7643.99,7710.0,6.6,6.5,6.7,0.011390418035209135,0.0525,0.07195447097778321,0.9914383916990921
SPXW260923C07715000,7643.99,7715.0,5.6,5.5,5.7,0.011390418035209135,0.0525,0.07122205642700197,0.990795852235904
SPXW260923C07720000,7643.99,7720.0,4.800000000000001,4.7,4.9,0.011390418035209135,0.0525,0.07090925437927245,0.9901541450777201
SPXW260923C07725000,7643.99,7725.0,3.9,3.8,4.0,0.011390418035209135,0.0525,0.06963515823364261,0.9895132686084143
SPXW260923C07730000,7643.99,7730.0,3.4,3.3,3.5,0.011390418035209135,0.0525,0.06994033096313476,0.9888732212160414
SPXW260923C07735000,7643.99,7735.0,2.8,2.75,2.85,0.011390418035209135,0.0525,0.06897903686523438,0.9882340012928248
SPXW260923C07740000,7643.99,7740.0,2.3,2.25,2.35,0.011390418035209135,0.0525,0.06841446731567385,0.9875956072351421
SPXW260923C07745000,7643.99,7745.0,1.9,1.85,1.95,0.011390418035209135,0.0525,0.06809403594970703,0.986958037443512
SPXW260923C07750000,7643.99,7750.0,1.55,1.5,1.6,0.011390418035209135,0.0525,0.06769731140136721,0.9863212903225806
SPXW260923C07755000,7643.99,7755.0,1.2,1.15,1.25,0.011390418035209135,0.0525,0.0667512759399414,0.985685364281109
SPXW260923C07760000,7643.99,7760.0,1.0,0.95,1.05,0.011390418035209135,0.0525,0.06687334503173828,0.9850502577319588
SPXW260923C07765000,7643.99,7765.0,0.775,0.75,0.8,0.011390418035209135,0.0525,0.0659120509338379,0.9844159690920798
SPXW260923C07770000,7643.99,7770.0,0.6499999999999999,0.6,0.7,0.011390418035209135,0.0525,0.06659868957519531,0.9837824967824967
SPXW260923C07775000,7643.99,7775.0,0.525,0.5,0.55,0.011390418035209135,0.0525,0.06617144775390627,0.9831498392282958
SPXW260923C08250000,7643.99,8250.0,0.67,0.0,0.1,0.011390418035209135,0.0525,0.20288883056640622,0.9265442424242424
SPXW260924C07330000,7643.99,7330.0,319.54999999999995,309.7,329.4,0.014128268822341236,0.0525,0.2561109545898438,1.0428362892223737
SPXW260924C07390000,7643.99,7390.0,260.75,250.6,270.9,0.014128268822341236,0.0525,0.2265778636932373,1.0343694181326115
SPXW260924C07400000,7643.99,7400.0,250.95000000000002,240.8,261.1,0.014128268822341236,0.0525,0.2211991943359375,1.0329716216216216
SPXW260924C07425000,7643.99,7425.0,226.65,216.5,236.8,0.014128268822341236,0.0525,0.2082598706054687,1.0294936026936026
SPXW260924C07450000,7643.99,7450.0,202.1,195.6,208.6,0.014128268822341236,0.0525,0.17946682357788085,1.0260389261744967
SPXW260924C07460000,7643.99,7460.0,192.2,186.0,198.4,0.014128268822341236,0.0525,0.17235629898071292,1.0246635388739946
SPXW260924C07470000,7643.99,7470.0,182.6,176.5,188.7,0.014128268822341236,0.0525,0.16719125053405764,1.0232918340026773
SPXW260924C07475000,7643.99,7475.0,178.5,171.8,185.2,0.014128268822341236,0.0525,0.1697241841888428,1.0226073578595318
SPXW260924C07490000,7643.99,7490.0,163.95,157.6,170.3,0.014128268822341236,0.0525,0.16020279502868653,1.0205594125500668
SPXW260924C07500000,7643.99,7500.0,154.35000000000002,148.3,160.4,0.014128268822341236,0.0525,0.15387809020996096,1.0191986666666666
SPXW260924C07505000,7643.99,7505.0,150.45,143.8,157.1,0.014128268822341236,0.0525,0.15640339454650878,1.0185196535642904
SPXW260924C07510000,7643.99,7510.0,145.2,139.1,151.3,0.014128268822341236,0.0525,0.15021601745605473,1.0178415446071905
SPXW260924C07515000,7643.99,7515.0,140.65,134.5,146.8,0.014128268822341236,0.0525,0.1484612742614746,1.0171643379906852
SPXW260924C07520000,7643.99,7520.0,136.75,129.9,143.6,0.014128268822341236,0.0525,0.15087976814270024,1.0164880319148937
SPXW260924C07525000,7643.99,7525.0,133.15,125.4,140.9,0.014128268822341236,0.0525,0.1545723581695557,1.0158126245847177
SPXW260924C07530000,7643.99,7530.0,127.10000000000001,120.9,133.3,0.014128268822341236,0.0525,0.14273928558349608,1.0151381142098272
SPXW260924C07535000,7643.99,7535.0,122.60000000000001,116.4,128.8,0.014128268822341236,0.0525,0.14068699897766115,1.014464499004645
SPXW260924C07540000,7643.99,7540.0,118.0,112.0,124.0,0.014128268822341236,0.0525,0.13763527168273929,1.013791777188329
SPXW260924C07545000,7643.99,7545.0,114.05,107.6,120.5,0.014128268822341236,0.0525,0.13846686737060548,1.013119946984758
SPXW260924C07550000,7643.99,7550.0,108.65,104.2,113.1,0.014128268822341236,0.0525,0.12746157581329348,1.0124490066225165
SPXW260924C07560000,7643.99,7560.0,100.7,96.4,105.0,0.014128268822341236,0.0525,0.12552754364013674,1.0111097883597884
SPXW260924C07565000,7643.99,7565.0,96.4,92.2,100.6,0.014128268822341236,0.0525,0.12336463191986086,1.0104415069398545
SPXW260924C07570000,7643.99,7570.0,92.2,88.0,96.4,0.014128268822341236,0.0525,0.12166710861206054,1.0097741083223248
SPXW260924C07575000,7643.99,7575.0,87.65,86.0,89.3,0.014128268822341236,0.0525,0.11176425354003905,1.0091075907590759
SPXW260924C07580000,7643.99,7580.0,83.35,81.7,85.0,0.014128268822341236,0.0525,0.10970433761596679,1.0084419525065962
SPXW260924C07585000,7643.99,7585.0,79.4,77.7,81.1,0.014128268822341236,0.0525,0.10861715976715088,1.0077771918259724
SPXW260924C07590000,7643.99,7590.0,75.44999999999999,73.8,77.1,0.014128268822341236,0.0525,0.10710655475616455,1.0071133069828722
SPXW260924C07595000,7643.99,7595.0,71.85,71.7,72.0,0.014128268822341236,0.0525,0.10255948108673095,1.0064502962475312
SPXW260924C07600000,7643.99,7600.0,68.05000000000001,67.9,68.2,0.014128268822341236,0.0525,0.10131208755493162,1.0057881578947367
SPXW260924C07605000,7643.99,7605.0,64.35,64.2,64.5,0.014128268822341236,0.0525,0.10014861652374267,1.0051268902038133
SPXW260924C07610000,7643.99,7610.0,60.65,60.5,60.8,0.014128268822341236,0.0525,0.09880204185485841,1.004466491458607
SPXW260924C07615000,7643.99,7615.0,57.15,57.0,57.3,0.014128268822341236,0.0525,0.09776445457458496,1.0038069599474722
SPXW260924C07620000,7643.99,7620.0,53.7,53.6,53.8,0.014128268822341236,0.0525,0.0965285050201416,1.0031482939632546
SPXW260924C07625000,7643.99,7625.0,50.3,50.2,50.4,0.014128268822341236,0.0525,0.09533070205688476,1.0024904918032786
SPXW260924C07630000,7643.99,7630.0,47.05,46.9,47.2,0.014128268822341236,0.0525,0.0943999252319336,1.0018335517693315
SPXW260924C07635000,7643.99,7635.0,44.25,44.1,44.4,0.014128268822341236,0.0525,0.09419774829864501,1.001177472167649
SPXW260924C07640000,7643.99,7640.0,40.75,40.6,40.9,0.014128268822341236,0.0525,0.0921035004425049,1.0005222513089005
SPXW260924C07645000,7643.99,7645.0,37.8,37.7,37.9,0.014128268822341236,0.0525,0.09095910270690918,0.9998678875081752
SPXW260924C07650000,7643.99,7650.0,35.05,34.9,35.2,0.014128268822341236,0.0525,0.09028009338378906,0.9992143790849672
SPXW260924C07655000,7643.99,7655.0,32.1,32.0,32.2,0.014128268822341236,0.0525,0.08863978996276856,0.9985617243631613
SPXW260924C07660000,7643.99,7660.0,29.799999999999997,29.7,29.9,0.014128268822341236,0.0525,0.0884032810974121,0.9979099216710182
SPXW260924C07665000,7643.99,7665.0,27.299999999999997,27.2,27.4,0.014128268822341236,0.0525,0.0874190990447998,0.9972589693411611
SPXW260924C07670000,7643.99,7670.0,24.65,24.5,24.8,0.014128268822341236,0.0525,0.08591230869293214,0.9966088657105606
SPXW260924C07675000,7643.99,7675.0,22.35,22.2,22.5,0.014128268822341236,0.0525,0.08484801879882814,0.9959596091205212
SPXW260924C07680000,7643.99,7680.0,20.299999999999997,20.2,20.4,0.014128268822341236,0.0525,0.08398209117889406,0.9953111979166667
SPXW260924C07685000,7643.99,7685.0,18.200000000000003,18.1,18.3,0.014128268822341236,0.0525,0.08280717617034915,0.9946636304489265
SPXW260924C07690000,7643.99,7690.0,16.4,16.3,16.5,0.014128268822341236,0.0525,0.0821052788925171,0.9940169050715214
SPXW260924C07695000,7643.99,7695.0,14.7,14.6,14.8,0.014128268822341236,0.0525,0.0813614203643799,0.99337102014295
SPXW260924C07700000,7643.99,7700.0,13.1,13.0,13.2,0.014128268822341236,0.0525,0.0805756005859375,0.992725974025974
SPXW260924C07705000,7643.99,7705.0,11.65,11.5,11.8,0.014128268822341236,0.0525,0.08004917762756347,0.9920817650876054
SPXW260924C07710000,7643.99,7710.0,10.45,10.3,10.6,0.014128268822341236,0.0525,0.07982029808044433,0.9914383916990921
SPXW260924C07715000,7643.99,7715.0,9.2,9.1,9.3,0.014128268822341236,0.0525,0.0789505558013916,0.990795852235904
SPXW260924C07720000,7643.99,7720.0,8.0,7.9,8.1,0.014128268822341236,0.0525,0.07804266693115236,0.9901541450777201
SPXW260924C07725000,7643.99,7725.0,7.0,6.9,7.1,0.014128268822341236,0.0525,0.07749335601806642,0.9895132686084143
SPXW260924C07730000,7643.99,7730.0,6.1,6.0,6.2,0.014128268822341236,0.0525,0.0769669330596924,0.9888732212160414
SPXW260924C07735000,7643.99,7735.0,5.199999999999999,5.1,5.3,0.014128268822341236,0.0525,0.07606667350769045,0.9882340012928248
SPXW260924C07740000,7643.99,7740.0,4.4,4.3,4.5,0.014128268822341236,0.0525,0.0751816725921631,0.9875956072351421
SPXW260924C07745000,7643.99,7745.0,3.95,3.9,4.0,0.014128268822341236,0.0525,0.07539529350280763,0.986958037443512
SPXW260924C07750000,7643.99,7750.0,3.3,3.2,3.4,0.014128268822341236,0.0525,0.07477731872558595,0.9863212903225806
SPXW260924C07755000,7643.99,7755.0,2.75,2.7,2.8,0.014128268822341236,0.0525,0.07369395553588867,0.985685364281109
SPXW260924C07760000,7643.99,7760.0,2.3499999999999996,2.3,2.4,0.014128268822341236,0.0525,0.07348033462524414,0.9850502577319588
SPXW260924C07765000,7643.99,7765.0,1.975,1.95,2.0,0.014128268822341236,0.0525,0.07286998916625975,0.9844159690920798
SPXW260924C07770000,7643.99,7770.0,1.6749999999999998,1.65,1.7,0.014128268822341236,0.0525,0.07267162689208985,0.9837824967824967
SPXW260924C07775000,7643.99,7775.0,1.4,1.35,1.45,0.014128268822341236,0.0525,0.0725953337097168,0.9831498392282958
SPXW260924C07780000,7643.99,7780.0,1.1749999999999998,1.15,1.2,0.014128268822341236,0.0525,0.07215283325195312,0.9825179948586118
SPXW260924C07785000,7643.99,7785.0,0.95,0.9,1.0,0.014128268822341236,0.0525,0.07189343643188476,0.9818869621066153
SPXW260924C07790000,7643.99,7790.0,0.8,0.75,0.85,0.014128268822341236,0.0525,0.0719392123413086,0.9812567394094993
SPXW260924C07795000,7643.99,7795.0,0.675,0.65,0.7,0.014128268822341236,0.0525,0.07163403961181641,0.980627325208467
SPXW260924C07800000,7643.99,7800.0,0.55,0.5,0.6,0.014128268822341236,0.0525,0.07184766052246094,0.979998717948718
SPXW260925C06990000,7643.99,6990.0,660.55,650.6,670.5,0.01686611960947334,0.0525,0.4278774253845215,1.0935608011444922
SPXW260925C07125000,7643.99,7125.0,525.3499999999999,516.3,534.4,0.01686611960947334,0.0525,0.35016518981933586,1.072840701754386
