tick,S,K,C,r,T,true_iv,true_delta,true_vega,true_gamma,is_liquid
31,34.523316,40.409365,7.559467,0.026635,1.535158,0.536930,0.562557,16.854487,0.017156,1
32,42.066988,48.066333,1.718678,0.047504,1.285383,0.154174,0.372216,18.042292,0.051448,1
33,70.118150,64.827458,10.955407,0.012854,0.413711,0.454536,0.667388,16.384399,0.017722,1
34,60.653862,43.161984,21.967094,0.025855,1.048581,0.487104,0.837894,15.241529,0.008111,0
35,30.461986,36.056525,0.804034,0.075571,0.804134,0.182513,0.281947,9.226165,0.067746,0
36,40.463981,31.538900,13.622329,0.071414,1.853153,0.254765,0.898582,9.766913,0.012635,0
37,59.599043,75.813293,2.354278,0.047076,1.132642,0.245111,0.278390,21.291809,0.021591,0
38,25.586166,33.979734,2.401377,0.054317,1.805815,0.303418,0.400755,13.290107,0.037051,0
39,40.952574,49.477630,11.307047,0.072096,1.799365,0.567925,0.619042,20.932420,0.012214,0
40,58.521899,44.412150,16.278117,0.072899,0.365176,0.463857,0.888645,6.708403,0.011564,0
41,20.551823,15.846074,5.151458,0.010354,1.343828,0.196485,0.906012,3.995104,0.035822,0
42,52.924027,62.679335,10.009798,0.025699,1.321324,0.527308,0.531875,24.192374,0.012397,0
43,34.234945,31.762490,11.956127,0.055474,1.505658,0.609534,0.721017,14.115940,0.013123,1
44,59.456774,65.272599,1.144422,0.035740,0.232666,0.259121,0.268411,9.454617,0.044361,1
45,34.639379,47.840702,2.802578,0.072443,0.816541,0.478683,0.346997,11.557283,0.024643,0
46,67.688678,71.198063,6.394052,0.044476,1.174963,0.217146,0.549722,29.043399,0.024845,1
47,63.347127,56.793275,6.916137,0.055183,0.097416,0.206266,0.965013,1.527292,0.018941,1
48,76.427515,104.533734,0.250499,0.035911,1.833986,0.109274,0.055113,11.532380,0.009852,0
49,75.699114,75.678592,28.822182,0.077453,1.934977,0.611806,0.726394,35.047644,0.005166,1
50,37.666934,36.520669,5.537744,0.032185,1.709717,0.201696,0.676414,17.694717,0.036166,1
51,53.408076,72.384411,0.574570,0.049904,1.407258,0.158306,0.124849,13.031257,0.020507,0
52,56.900434,79.264449,2.409581,0.046283,0.323164,0.626424,0.238601,10.023588,0.015293,0
53,64.446117,76.556253,5.384750,0.035164,1.419844,0.276155,0.417989,29.986027,0.018413,0
54,68.561669,86.873077,11.725174,0.073927,1.740791,0.406805,0.526752,36.006994,0.010817,0
55,50.090978,63.054855,10.313128,0.059138,1.317430,0.577476,0.540505,22.818502,0.011954,0
56,73.400321,68.746491,14.052224,0.016579,0.782387,0.446968,0.654009,23.946276,0.012710,1
57,22.156536,22.730803,4.258716,0.030058,1.108157,0.454500,0.600778,9.006430,0.036426,1
58,21.830015,15.851729,6.955592,0.035213,1.654071,0.176236,0.962638,2.288596,0.016474,0
59,51.334596,63.603332,0.078944,0.053602,0.470851,0.151208,0.038340,2.932538,0.015630,0
60,23.100903,24.762973,5.037687,0.054620,1.104238,0.535655,0.604557,9.349813,0.029621,1
61,78.551125,83.374968,6.244133,0.065663,0.679765,0.262499,0.515585,25.817272,0.023449,1
62,46.338285,34.981674,11.835793,0.077385,0.099434,0.601588,0.947111,1.575871,0.012269,0
63,61.758452,60.910327,4.501182,0.020951,0.387924,0.250146,0.586605,14.982430,0.040481,1
64,52.953600,63.555819,13.473515,0.029595,1.337385,0.672919,0.581387,23.920415,0.009479,0
65,64.273815,69.932985,6.111541,0.039372,1.242855,0.248639,0.504269,28.584434,0.022391,1
66,41.358361,50.891143,0.000000,0.018125,0.078067,0.127602,0.000000,0.000000,0.000000,0
67,22.443728,29.150417,0.349496,0.043192,1.422133,0.158700,0.167945,6.720228,0.059112,0
68,49.496953,51.052654,3.823473,0.040370,0.387744,0.339103,0.513223,12.289161,0.038150,1
69,56.951006,65.184160,1.443357,0.036223,0.138343,0.475516,0.258924,6.856199,0.032134,1
70,50.188176,65.221687,0.324772,0.021405,1.334453,0.142341,0.090526,9.455712,0.019763,0
71,58.545157,42.068086,22.534852,0.075816,1.192262,0.445285,0.866238,13.791947,0.007579,0
72,43.290196,49.796788,9.479157,0.048193,0.943593,0.664879,0.570062,16.516760,0.014048,1
73,43.166158,59.259944,0.319357,0.023705,1.815434,0.141617,0.090166,9.457785,0.019743,0
74,26.046680,18.564909,7.731393,0.057810,0.234164,0.142713,1.000000,0.000010,0.000000,0
75,39.138538,50.544005,0.001407,0.067013,0.095380,0.269113,0.001545,0.060610,0.001542,0
76,27.089890,32.175096,5.695212,0.071423,1.276439,0.541043,0.568809,12.027973,0.023733,0
77,68.208856,61.212278,14.169842,0.062543,0.396007,0.584101,0.707331,14.755736,0.013712,1
78,79.430309,78.543261,10.786165,0.064349,0.775435,0.304482,0.641342,26.133974,0.017544,1
79,75.845440,98.666492,9.945472,0.062561,0.886538,0.552726,0.444858,28.217147,0.010010,0
80,26.187432,34.876083,1.173834,0.067852,1.035242,0.292030,0.281186,8.987646,0.043350,0
81,73.731394,71.699443,2.762833,0.073377,0.071133,0.154772,0.795053,5.586411,0.093339,1
82,39.158818,53.453486,7.224052,0.050141,1.903684,0.479102,0.501660,21.554269,0.015412,0
83,46.906731,42.462203,11.349849,0.057076,0.690896,0.551425,0.702774,13.499022,0.016104,1
84,67.494743,84.552871,0.000506,0.044609,0.227852,0.134535,0.000453,0.052227,0.000374,0
85,52.971733,53.452258,6.147346,0.034564,1.781023,0.170240,0.634879,26.574946,0.031236,1
86,28.579501,35.240166,0.351473,0.017079,1.255525,0.150464,0.151242,7.507661,0.048656,0
87,62.058148,46.601580,19.896973,0.059437,1.652627,0.148809,0.982417,3.461806,0.003655,0
88,25.090263,34.891716,2.585231,0.035945,0.779828,0.587680,0.373750,8.392836,0.029091,0
89,76.834915,106.815956,0.495762,0.036338,1.519087,0.150100,0.082278,14.380136,0.010683,0
90,66.628815,72.684240,3.477222,0.073445,0.877233,0.166718,0.473531,24.841185,0.038260,1
91,49.557506,35.084115,14.982605,0.013941,0.963888,0.171291,0.986715,1.659512,0.004093,0
92,27.051575,31.229615,8.106363,0.050836,1.504788,0.677304,0.631049,12.517691,0.016783,1
93,42.492235,38.242946,16.800425,0.025652,1.743768,0.677934,0.730812,18.525119,0.008679,1
94,20.729268,28.583903,0.027973,0.072380,0.134162,0.416621,0.024675,0.438922,0.018275,0
95,79.577888,59.815324,27.954542,0.077851,1.130016,0.413859,0.857427,19.062370,0.006437,0
96,57.763918,68.567162,7.294766,0.053929,0.936355,0.450589,0.476317,22.259780,0.015812,0
97,74.069481,54.204969,26.340740,0.076529,0.597878,0.634158,0.835279,14.201321,0.006827,0
98,47.339405,53.687279,3.409535,0.023168,0.590893,0.378219,0.405028,14.104016,0.028161,1
99,41.201134,45.673899,3.643901,0.078208,0.201583,0.691726,0.449946,7.321657,0.030932,1
100,61.889703,66.547983,9.393044,0.066966,0.653579,0.510839,0.554386,19.775008,0.015463,1
101,29.757016,39.804444,6.310764,0.076486,1.653948,0.535432,0.542025,15.182444,0.019361,0
102,56.804912,56.394219,8.485741,0.070624,1.868821,0.127131,0.812750,20.884300,0.027241,1
103,21.582018,20.794800,4.009270,0.079109,1.630579,0.190250,0.789704,7.949108,0.055013,1
104,55.647843,53.790518,21.328630,0.068948,1.941333,0.602997,0.732306,25.526431,0.007042,1
105,48.121590,47.658354,9.339984,0.013946,0.583144,0.618833,0.607943,14.120170,0.016897,1
106,68.774061,96.270093,15.793640,0.048880,1.993442,0.561392,0.537811,38.563818,0.007286,0
107,76.685944,99.289369,0.149928,0.041538,0.532329,0.177496,0.039270,4.749841,0.008548,0
108,77.243062,86.846092,7.429516,0.057019,0.495853,0.470877,0.459241,21.585974,0.015495,1
109,41.489763,32.340868,15.791311,0.046422,1.359568,0.563391,0.789230,13.972388,0.010597,0
110,51.209810,66.394904,9.702605,0.049266,1.126218,0.625992,0.509882,21.674109,0.011723,0
111,44.208972,35.093553,9.508186,0.062860,0.106126,0.472186,0.947535,1.543320,0.015758,0
112,62.244786,52.850486,10.476895,0.011018,0.315924,0.310353,0.852006,8.084249,0.021281,0
113,55.395061,53.986411,8.912512,0.073291,0.903076,0.308953,0.677230,18.893031,0.022067,1
114,50.839369,63.475856,7.955105,0.053546,0.823258,0.617418,0.485055,18.389649,0.013998,0
115,76.971237,61.804166,22.483014,0.044448,1.856846,0.254947,0.851523,24.288963,0.008660,0
116,47.548145,65.902814,4.359091,0.033013,1.010605,0.480041,0.357175,17.833759,0.016260,0
117,34.408737,25.913369,8.645754,0.018963,0.301315,0.191142,0.997518,0.145606,0.002135,0
118,28.329630,32.539762,3.201348,0.034197,0.404666,0.638073,0.458462,7.150506,0.034505,1
119,48.437698,56.540861,0.046613,0.023460,0.386024,0.124521,0.032617,2.194337,0.019457,1
120,30.136104,26.972212,3.554559,0.016209,0.395170,0.172382,0.872200,3.960410,0.064016,1
121,47.646726,40.234497,12.821326,0.045239,0.760326,0.514237,0.751116,13.171112,0.014839,0
122,22.358728,28.162770,4.548524,0.015723,1.274406,0.624147,0.521212,10.055335,0.025288,0
123,75.252344,55.894023,24.697431,0.066434,0.589911,0.548956,0.843536,13.858202,0.007557,0
124,31.071261,26.303206,7.977484,0.043917,0.772421,0.470953,0.755342,8.578144,0.024426,0
125,42.134818,43.136544,5.085683,0.012568,1.507568,0.251462,0.555529,20.438797,0.030369,1
126,62.800975,83.314586,0.447369,0.047248,1.047771,0.164303,0.096425,10.984773,0.016179,0
127,46.844742,50.256542,3.317816,0.028847,0.522817,0.326370,0.453824,13.422202,0.035846,1
128,21.204272,19.623608,2.164591,0.032925,0.462324,0.171857,0.802797,4.002270,0.112033,1
129,73.431637,81.914072,12.998581,0.065242,1.374250,0.399065,0.576086,33.715555,0.011401,1
130,25.215217,27.130933,3.932522,0.062181,1.194340,0.358996,0.578795,10.778388,0.039538,1
131,27.654818,24.851812,6.128165,0.055214,0.758010,0.442467,0.718596,8.124621,0.031674,1
132,41.365804,57.521660,0.171673,0.026606,1.231261,0.161069,0.057963,5.321608,0.015682,0
133,29.171548,25.442561,4.395053,0.023060,0.363329,0.271057,0.833997,4.381995,0.052287,1
134,30.402416,40.366376,0.090589,0.046716,0.206456,0.346238,0.048265,1.385092,0.020963,0
135,78.942717,61.451161,28.014221,0.077863,0.825818,0.619304,0.799747,20.099438,0.006306,0
136,69.024324,60.778125,15.815792,0.056805,0.383231,0.657626,0.715507,14.494507,0.012071,1
137,53.405774,58.753234,2.230305,0.063865,0.595959,0.212226,0.394261,15.866578,0.043984,1
138,39.420754,39.334246,3.293003,0.026969,1.039840,0.168902,0.603221,15.496993,0.056780,1
139,56.637203,51.089101,12.706888,0.020805,1.183415,0.388684,0.696187,21.544180,0.014601,1
140,51.955366,38.253514,14.227235,0.019409,0.706378,0.138025,0.997563,0.331110,0.001258,0
141,79.397614,73.494218,23.959245,0.027825,1.629255,0.508902,0.696206,35.436432,0.006780,1
142,65.613672,73.287001,5.993071,0.038829,0.969574,0.309321,0.465245,25.676901,0.019887,1
143,75.771749,97.096464,16.711119,0.018701,1.931802,0.538520,0.536333,41.840089,0.007005,0
144,76.300427,63.090011,14.856256,0.061878,0.179668,0.444684,0.877354,6.569643,0.014124,0
145,70.509727,56.255527,17.540401,0.024114,1.600771,0.198194,0.880994,17.741177,0.011248,0
146,29.855948,37.923094,2.407018,0.046615,1.347135,0.315298,0.382472,13.220073,0.034917,0
147,72.632032,70.795283,14.978424,0.040739,1.642369,0.326167,0.666528,33.849974,0.011978,1
148,47.760787,43.508382,9.474996,0.045190,1.507838,0.239328,0.756821,18.362634,0.022307,1
149,73.974474,71.660838,18.127574,0.073453,1.109928,0.474543,0.683178,27.753264,0.009629,1
150,27.013882,36.681678,0.308012,0.033443,1.274031,0.183563,0.121547,6.154759,0.036064,0
151,67.641511,76.708919,14.723981,0.072572,1.090249,0.573158,0.587548,27.495228,0.009617,1
152,29.100493,26.720231,3.350920,0.062076,0.534554,0.120119,0.918252,3.215104,0.059128,1
153,54.193381,66.859517,13.830369,0.033946,1.759693,0.592754,0.580044,28.100475,0.009173,0
154,26.637904,34.429934,1.184308,0.037810,0.298603,0.578377,0.268249,4.797249,0.039146,0
155,28.995046,24.949540,9.513586,0.060403,1.458393,0.484689,0.758002,10.934595,0.018400,0
156,61.636907,66.562134,2.313084,0.034199,0.541008,0.208959,0.380964,17.275214,0.040223,1
157,74.507034,82.581678,15.967050,0.042340,0.831660,0.668370,0.576803,26.603038,0.008621,1
158,29.201084,32.423742,0.729662,0.052802,1.036483,0.110866,0.349686,11.007981,0.112344,1
159,72.327435,97.821611,14.086905,0.058766,1.152010,0.653500,0.506681,30.965657,0.007863,0
160,62.434318,50.370592,17.929018,0.052470,1.173762,0.354478,0.818973,17.812579,0.010983,0
161,64.186654,86.912383,1.394883,0.041559,1.854859,0.167943,0.191113,23.807409,0.018550,0
162,79.090472,101.807522,4.344335,0.074459,0.293092,0.621938,0.302675,14.947114,0.013109,0
163,51.130283,56.953655,3.622472,0.013833,0.828055,0.301118,0.414950,18.138287,0.027826,1
164,68.171207,47.940884,22.919681,0.037872,0.700323,0.422437,0.893919,10.450745,0.007601,0
165,75.191337,70.863489,13.180049,0.061625,0.726559,0.371331,0.686874,22.709669,0.014888,1
166,33.476289,34.035600,2.890001,0.022347,0.324671,0.399021,0.528983,7.589639,0.052277,1
167,45.135527,60.499305,3.501900,0.050641,0.756668,0.479359,0.343769,14.446234,0.019550,0
168,20.785667,24.204414,0.211094,0.077275,0.397170,0.189198,0.168515,3.296240,0.101531,1
169,44.877447,34.095406,17.909721,0.045154,1.993905,0.457231,0.812689,17.045834,0.009284,0
170,24.024589,29.429456,0.259834,0.072864,0.459316,0.223084,0.147969,3.761910,0.063609,0
171,31.441263,22.813302,9.702837,0.049539,0.970531,0.139425,0.997057,0.278514,0.002082,0
172,66.531657,67.682800,10.089153,0.040853,1.072561,0.340458,0.599448,26.629847,0.016475,1
173,53.578420,43.327163,15.014435,0.070325,0.404760,0.667669,0.782113,10.037067,0.012938,0
174,42.398559,37.714420,6.786179,0.038611,1.305799,0.115232,0.909522,7.898762,0.029202,1
175,29.369156,35.277659,1.394336,0.011897,1.334902,0.233183,0.313226,12.024951,0.044787,0
176,33.864488,39.632454,0.629050,0.017288,0.088436,0.579950,0.207005,2.877895,0.048929,1
177,30.712680,35.532183,0.724451,0.016961,0.514456,0.245903,0.245482,6.932415,0.058095,1
178,63.336016,82.272695,11.679579,0.037803,1.668929,0.500851,0.506678,32.637647,0.009734,0
179,32.299058,29.237217,4.689274,0.010910,1.797855,0.151305,0.754601,13.626391,0.048017,1
180,32.473175,23.334332,9.766007,0.050813,0.403799,0.352855,0.953283,2.015697,0.013416,0
181,73.560303,93.584189,2.748927,0.028160,0.716544,0.327815,0.255863,20.030190,0.015759,0
182,55.417697,49.191216,14.663365,0.038659,1.267090,0.431228,0.722120,20.921414,0.012467,1
183,46.167592,41.833657,10.204775,0.063452,1.899484,0.184068,0.839041,15.542233,0.020856,1
184,72.108079,75.079064,15.926207,0.065990,1.794377,0.355128,0.656119,35.544913,0.010728,1
185,21.348158,18.958748,4.280993,0.054343,1.106187,0.254733,0.788545,6.497246,0.050594,1
186,28.361364,36.428788,1.577228,0.046798,1.969584,0.203008,0.339922,14.582910,0.045342,0
187,36.338440,25.904710,14.205735,0.018243,1.832883,0.445910,0.820656,12.879548,0.011934,0
188,36.443313,39.647577,3.821750,0.068082,1.320270,0.223853,0.559790,16.517527,0.042081,1
189,20.659750,16.441441,8.010899,0.071172,1.805036,0.458448,0.812550,7.469731,0.021148,0
190,56.031012,65.305582,2.334172,0.074009,0.391974,0.351262,0.324688,12.620766,0.029197,1
191,42.988312,45.706995,2.457210,0.021640,0.141584,0.542820,0.427356,6.345798,0.044680,1
192,24.967920,28.019162,1.056403,0.037251,0.528431,0.273216,0.351192,6.731042,0.074786,1
193,41.340363,49.746187,2.673562,0.049648,0.629387,0.385630,0.363205,12.307147,0.029670,0
194,59.820270,81.103174,0.123183,0.025046,1.478516,0.118710,0.037540,5.952261,0.009477,0
195,35.735843,39.901018,1.156482,0.044746,0.150280,0.458106,0.310603,4.891511,0.055637,1
196,40.054633,49.653267,1.519931,0.015260,0.257867,0.536913,0.262015,6.623814,0.029820,0
197,49.729479,58.774360,8.374402,0.027248,0.897913,0.591461,0.510260,18.793061,0.014309,0
198,67.964953,80.625976,3.030898,0.051316,0.580683,0.316584,0.321335,18.553239,0.021848,0
199,25.494924,34.217235,0.270960,0.076517,0.316796,0.367603,0.114770,2.781349,0.036744,0
200,31.107976,33.575792,9.698148,0.061256,1.752244,0.583937,0.665158,14.999068,0.015148,1
201,59.527002,70.515305,9.339498,0.027477,1.705932,0.393655,0.507489,31.011897,0.013032,0
202,33.272567,46.294371,5.998068,0.012760,1.890916,0.523345,0.473849,18.213695,0.016625,0
203,75.514899,62.405720,18.287530,0.074084,1.157493,0.120368,0.986072,2.886476,0.003633,0
204,61.845216,56.164381,26.569569,0.077974,1.852573,0.666560,0.763944,25.931779,0.005490,1
205,48.452853,63.154895,11.282276,0.032337,1.696871,0.597349,0.547372,25.002163,0.010507,0
206,22.220458,24.828894,0.206130,0.018440,0.498517,0.146172,0.174947,4.043432,0.112383,1
207,61.777327,57.941725,10.996793,0.014575,1.463295,0.289174,0.662433,27.306244,0.016909,1
208,52.369478,65.645466,7.103792,0.053812,0.671567,0.631587,0.457027,17.021730,0.014633,0
209,56.951791,49.153475,8.137247,0.070907,0.097582,0.112762,0.999994,0.000454,0.000013,0
210,72.482100,77.574402,27.978303,0.065915,1.881182,0.698760,0.704619,34.321549,0.004970,1
211,41.042709,50.771136,4.408192,0.043591,0.833765,0.476503,0.425514,14.689564,0.021950,0
212,72.420627,100.581998,5.954569,0.039244,1.548133,0.352814,0.348126,33.310649,0.011628,0
213,64.254938,55.718284,9.642649,0.034824,0.265425,0.272343,0.875339,6.801586,0.022790,0
214,37.778487,32.622684,6.714573,0.011251,0.132082,0.692633,0.762595,4.242934,0.032496,0
215,45.666388,44.252038,15.015954,0.025278,1.375312,0.669977,0.683369,19.066489,0.009922,1
216,67.180701,51.231176,25.440437,0.071538,0.864283,0.666839,0.801476,17.407410,0.006692,0
217,48.044091,54.260418,1.187610,0.079382,0.375716,0.239003,0.289884,10.078599,0.048625,1
218,76.563906,88.412374,5.398210,0.045888,1.235087,0.238402,0.422036,33.295248,0.019290,1
219,30.591682,26.135708,5.678210,0.064571,0.413555,0.310075,0.846870,4.650335,0.038751,0
220,23.470561,32.351160,7.003803,0.074943,1.773382,0.696945,0.603143,12.049989,0.017699,0
221,30.433715,29.744982,4.646675,0.058721,1.528565,0.192338,0.723283,12.593444,0.046247,1
222,68.949987,59.097613,14.801524,0.047588,0.486444,0.455764,0.763260,14.838192,0.014078,0
223,54.805172,41.873387,15.431764,0.028592,1.761049,0.177709,0.929578,9.810388,0.010437,0
224,73.324885,100.378545,13.571172,0.066666,1.731149,0.493145,0.507293,38.481863,0.008384,0
225,53.051442,40.366351,14.395407,0.036088,0.846484,0.255852,0.920486,7.222990,0.011850,0
226,63.405207,66.392417,4.765145,0.025413,0.208040,0.509955,0.476517,11.517423,0.027004,1
227,24.567852,31.836124,2.574990,0.043641,1.015536,0.455445,0.405701,9.599773,0.034387,0
228,69.480858,65.552858,12.701208,0.049601,1.372131,0.260217,0.714510,27.654081,0.016043,1
229,72.717799,91.493405,16.888400,0.069541,1.333981,0.620377,0.566386,33.041259,0.007550,0
230,62.501779,80.371620,9.920532,0.057610,1.410069,0.471167,0.490221,29.600032,0.011405,0
231,65.162998,52.848728,18.599406,0.071029,1.767698,0.117548,0.986850,2.929136,0.003320,0
232,69.549005,54.958243,17.122531,0.062046,0.703482,0.196456,0.962154,4.805253,0.007188,0
233,69.078021,88.592143,2.330328,0.010447,1.039562,0.272223,0.236220,21.705510,0.016074,0
234,57.015615,79.070984,6.589837,0.028186,1.282036,0.480403,0.396355,24.880419,0.012427,0
235,52.399123,65.283636,1.160199,0.063272,0.258612,0.424760,0.202129,7.507670,0.024892,0
236,77.779520,73.059121,12.837179,0.075242,1.283613,0.161506,0.831844,22.143856,0.017656,1
237,76.233709,90.071653,2.552430,0.031067,0.182282,0.524903,0.271932,10.800080,0.019423,0
238,24.041036,26.625912,0.465332,0.053464,0.724472,0.127445,0.298013,7.093306,0.132922,1
239,72.292208,99.867513,2.312633,0.062476,1.939312,0.178052,0.244919,31.642604,0.017535,0
240,65.495792,46.974292,18.669276,0.032653,0.093141,0.393186,0.997850,0.135314,0.000861,0
241,66.224445,78.032712,14.145968,0.029154,0.919510,0.698275,0.551630,25.121711,0.008921,0
242,45.570878,46.298687,5.846492,0.065637,0.369066,0.516209,0.572805,10.860160,0.027449,1
243,33.246177,25.189522,10.457901,0.055816,1.376974,0.263956,0.903021,6.694556,0.016664,0
244,77.051814,62.083769,21.452045,0.076053,0.893053,0.351836,0.846170,17.264267,0.009255,0
245,58.311557,57.047134,8.040340,0.078878,0.584720,0.345600,0.651589,16.488291,0.023996,1
246,73.645952,63.406825,15.340302,0.012179,0.465554,0.491000,0.736068,16.425197,0.013248,0
247,42.111581,54.957751,0.941029,0.077774,0.972759,0.211315,0.208901,11.933266,0.032736,0
248,72.117390,89.686470,16.743709,0.069135,1.553298,0.556614,0.574316,35.233331,0.007835,0
249,57.573219,45.590587,12.587703,0.074459,0.113426,0.469990,0.945947,2.127563,0.012040,0
250,67.792237,70.305001,6.370428,0.018763,0.278751,0.511339,0.507798,14.276287,0.021794,1
251,45.818354,38.504247,12.040658,0.014495,1.008609,0.449183,0.740047,14.924319,0.015692,0
252,36.139604,45.474152,0.011373,0.041865,0.655206,0.106972,0.010915,0.841458,0.009192,0
253,24.346813,23.731946,3.546053,0.052001,0.985881,0.274998,0.662012,8.837523,0.054991,1
254,61.698913,80.337271,6.596713,0.012773,1.570709,0.388304,0.398258,29.839878,0.012852,0
255,26.295811,22.862406,7.753497,0.019975,1.973992,0.399333,0.725809,12.309718,0.022584,0
256,57.089344,68.034826,3.750904,0.010684,1.141315,0.295877,0.360065,22.818807,0.020733,0
257,51.062699,38.884579,12.552948,0.012324,0.733723,0.147147,0.989173,1.249337,0.004438,0
258,43.815397,34.741273,16.028114,0.058263,1.156705,0.580352,0.785773,13.740230,0.010662,0
259,32.009015,26.158977,7.090165,0.054550,0.253907,0.523885,0.828690,4.101629,0.030095,0
260,21.895169,29.675586,0.168945,0.047891,0.151344,0.525436,0.088535,1.366439,0.035843,0
261,72.258147,86.699722,17.894923,0.033762,1.613370,0.588895,0.580524,35.866975,0.007230,0
262,24.806891,32.903157,2.024982,0.067211,1.117805,0.371391,0.370074,9.903297,0.038765,0
263,58.614662,62.628703,2.794722,0.015714,1.476600,0.136211,0.429658,27.972145,0.040480,1
264,34.826194,28.267770,15.099598,0.025345,1.749978,0.685519,0.768042,14.055559,0.009660,0
265,40.213748,33.276174,12.922322,0.056110,1.589912,0.398917,0.789685,14.626463,0.014260,0
266,53.321813,64.169669,7.257851,0.079743,0.495487,0.684876,0.475630,14.945817,0.015491,0
267,59.019541,49.557512,10.746210,0.015054,1.376445,0.118392,0.930112,9.285665,0.016358,0
268,35.460973,36.306224,11.045431,0.060902,1.743131,0.545624,0.682555,16.686371,0.013952,1
269,45.529600,42.895917,5.496882,0.079135,0.773526,0.124066,0.877307,8.136281,0.040899,1
270,72.021890,79.589430,9.323768,0.060768,0.905300,0.392001,0.526356,27.278578,0.014819,1
271,72.405394,96.334748,5.739316,0.029378,0.872356,0.455410,0.345170,24.920852,0.011965,0
272,74.741801,63.340950,24.898378,0.054209,1.264785,0.539868,0.754619,26.446498,0.006933,0
273,27.894061,33.502928,2.133035,0.022578,1.822613,0.242526,0.393506,14.484934,0.042115,0
274,78.283706,64.715876,20.889380,0.044459,1.716051,0.248339,0.837011,25.254605,0.009670,0
275,72.244994,73.091249,14.120663,0.035146,1.053894,0.455771,0.613411,28.384260,0.011322,1
276,29.811432,29.029093,8.925356,0.028069,1.940354,0.494042,0.677915,14.890500,0.017478,1
277,39.511404,49.050689,0.838105,0.077887,0.305204,0.372274,0.202385,6.154658,0.034698,0
278,34.163028,25.671729,9.060141,0.046384,0.381028,0.302202,0.957271,1.917069,0.014265,0
279,69.733002,69.846058,11.407183,0.053200,0.534993,0.524066,0.603217,19.663122,0.014423,1
280,30.022514,24.538405,5.927435,0.061548,0.121509,0.498283,0.901683,1.813991,0.033240,0
281,48.477853,62.580996,12.102795,0.050975,1.621057,0.620963,0.570184,24.241622,0.010247,0
282,32.350473,25.179788,8.424392,0.013996,0.576012,0.418702,0.834680,6.102408,0.024177,0
283,76.196342,55.435923,23.571437,0.041654,0.288114,0.660325,0.866180,8.826626,0.007991,0
